hdd 2.5,Seagate Hybrid 64mb 5400RPM SSHD 1tb (ST1000ML015),4580,Hard Drives
hdd 2.5,Seagate Mobile 128MB 5400RPM 2tb,5999,Hard Drives
hdd 2.5,Seagate Momentus Thin 16mb  5400RPM 500gb,2000,Hard Drives
hdd 3.5,WDC Black 2tb (WD2002FAEX WD2003FZEX),6320,Hard Drives
acc,Cryorig Customod Cover For R1 black,600,Other Devices
acc fan controller,Asus ROG Front Base,3580,Other Devices
acc fan controller,Bitfenix Hydra Pro,1590,Other Devices
acc fan controller,Bitfenix Recon,1840,Other Devices
acc fan controller,NZXT Aperture M,1470,Other Devices
acc fan controller,NZXT Sentry 3 5.25 bay front panel,1650,Other Devices
acc fan controller,NZXT Sentry LX front panel,2450,Other Devices
acc fan controller,NZXT Sentry LXE front panel,2750,Other Devices
acc fan controller,NZXT Sentry Mesh front panel,1160,Other Devices
acc fan controller,NZXT Sentry Mix 2 front panel 6 channels,1450,Other Devices
acc fan controller,Thermaltake Commander F6 RGB,2820,Other Devices
acc hdd,Crucial 2.5 to 3.5 bracket SSD to HDD,300,Other Devices
acc hdd,Crucial USB3.0 to 2.5 external SSD / HDD module,750,Other Devices
acc hdd,Orico 6629US3-C USB3.0 2x hdd Docking Station,1670,Hard Drives
acc hdd,Probox HFD1-SU3S2 USB3.0 eSata 4x hdd Docking Station,4530,Hard Drives
acc hdd,Sharkoon Quickport XT Duo Clone USB3.0 Docking Station,1770,Hard Drives
acc hdd,Thermaltake Level 10 Miniature,2930,Hard Drives
acc led controller,NZXT Hue RGB front panel,1599,Other Devices
acc led controller,NZXT Hue+ RGB front panel,2950,Other Devices
acc led strip,Bitfenix Alchemy connect led strip,980,Other Devices
acc led strip,Bitfenix Alchemy magnetic led strip,1080,Other Devices
acc led strip,Deep Cool RGB 100 magnetic led strip 300mm,400,Other Devices
acc led strip,Deep Cool RGB 330 LED,1540,Other Devices
acc led strip,Deep Cool RGB 350 Magnetic LED,700,Other Devices
acc led strip,Deep Cool RGB 360 Magnetic LED,1700,Other Devices
acc led strip,Phanteks Multi LED Strip,1290,Other Devices
acc led strip,Thermaltake Lumi Color 256C RGB,2670,Other Devices
acc mb,Asus TUF Gryphon Armor Kit,500,Other Devices
acc,Aduro Easy grip rotating stand for tablets 7 to 10 inch,999,Other Devices
acc,Bitfenix Alchemy 4 pin ATX 12 extension 45cm,310,Cables/Adapters
acc,Bitfenix Alchemy 8 pin mobo psu power extension 450mm,440,Cables/Adapters
acc,Bitfenix Alchemy 8 pin mobo-pcie power extension 450mm,440,Cables/Adapters
acc,Bitfenix Alchemy molex to 4x sata power extension 20cm,440,Cables/Adapters
acc,Bitfenix Alchemy molex to sata power extension 45cm,370,Cables/Adapters
acc,Bitfenix Internal usb extension 30cm,310,Cables/Adapters
acc,Deep Cool Buffer B1,35,Other Devices
acc,Deep Cool Buffer P120,70,Other Devices
acc,Deep Cool M Desk F2 Monitor Stand,790,Other Devices
acc,Deep Cool PWM Fan Hub,250,Other Devices
acc,Deep Cool Rock Master V3.0 5.25,890,Other Devices
acc,Deep Cool Rockman 3.5,620,Other Devices
acc,HTC Vive VR,52000,Other Devices
acc,Logitech Driving Force Shifter,2560,Other Devices
acc,MSI Dragon SLI Bridge,1500,Other Devices
acc,NZXT CB 11MLEX 1 to 1 molex,350,Cables/Adapters
acc,NZXT CB 3F600 3 pin to 600mm extension,330,Cables/Adapters
acc,NZXT CB 44SATA molex to 4 sata individual sleeved,420,Cables/Adapters
acc,NZXT CB 8V 6 pin to 6+2 vga pcie power extension,330,Cables/Adapters
acc,NZXT Grid fan hub 10 ports,630,Other Devices
acc,NZXT Grid+ V1 fan control fan hub 6 ports 30w,1390,Other Devices
acc,NZXT Grid+ V2 fan control fan hub 6 ports 30w,1670,Other Devices
acc,NZXT Hue+ Extension Kit,1130,Other Devices
acc,NZXT IU01 Internal USB Expension,820,Other Devices
acc,Omega Halo RGB Controller,350,Other Devices
acc,Phanteks 3 pin Y-Splitter,180,Cables/Adapters
acc,Phanteks PWM fan hub 3 ports,930,Cables/Adapters
acc,Qicent PCIE Express Card 1xUSB3.1 1xType C,1030,Hard Drives
acc,Qicent PCIE Express Card 2xUSB3.1,920,Hard Drives
acc,Razer Lachesis mouse feet,500,Mice/Keyboards
acc,Thermaltake Commander FP PWM fan hub 10 ports,820,Other Devices
acc,Thermaltake Commander FX fan hub 10 ports,560,Other Devices
acc,Zotac nvidia HB SLI Bridge Medium 72mm 1 Slot Gap,2500,Other Devices
anti virus,Kaspersky Anti virus Essential Protection 1 user 2 years,710,Other Devices
anti virus,Kaspersky Anti virus Essential Protection 3 user 2 years,1180,Other Devices
anti virus,Kaspersky Internet Security Complete Protection 1 user 2 years,980,Other Devices
anti virus,Kaspersky Internet Security Complete Protection 3 users 1 year,1640,Other Devices
anti virus,Kaspersky Internet Security Complete Protection 5 user 1 years,2550,Other Devices
